Report period start date,Report period end date,Number of staff cases,Number of student cases,Number of in person student cases,Number of hybrid student cases,Number of remote student cases,Number of unknown learning model student cases,Percent change from previous week - staff cases,Percent change from previous week - student cases,Percent change from previous week - in person student cases,Percent change from previous week - hybrid student cases,Percent change from previous week - remote student cases,Percent change from previous week - unknown learning model student cases,Difference from previous week - staff cases,Difference from previous week - student cases,Difference from previous week - in person student cases,Difference from previous week - hybrid student cases,Difference from previous week - remote student cases,Difference from previous week - unknown learning model student cases
10/08/2020,10/14/2020,83,160,55,76,29,0,1560,1354.55,5400,1166.67,625,,78,149,54,70,25,0
10/15/2020,10/21/2020,127,247,82,110,54,1,53.01,54.38,49.09,44.74,86.21,,44,87,27,34,25,1
10/22/2020,10/28/2020,162,296,105,117,72,2,27.56,19.84,28.05,6.36,33.33,100,35,49,23,7,18,1
10/29/2020,11/04/2020,238,499,176,224,98,1,46.91,68.58,67.62,91.45,36.11,-50,76,203,71,107,26,-1
11/05/2020,11/11/2020,331,678,234,322,115,7,39.08,35.87,32.95,43.75,17.35,600,93,179,58,98,17,6
11/12/2020,11/18/2020,491,1158,354,508,277,19,48.34,70.8,51.28,57.76,140.87,171.43,160,480,120,186,162,12
11/19/2020,11/25/2020,375,959,301,434,219,5,-23.63,-17.18,-14.97,-14.57,-20.94,-73.68,-116,-199,-53,-74,-58,-14
11/26/2020,12/02/2020,396,880,253,304,322,1,5.6,-8.24,-15.95,-29.95,47.03,-80,21,-79,-48,-130,103,-4
12/03/2020,12/09/2020,434,1333,294,495,513,31,9.6,51.48,16.21,62.83,59.32,3000,38,453,41,191,191,30
12/10/2020,12/16/2020,417,973,254,346,362,11,-3.92,-27.01,-13.61,-30.1,-29.43,-64.52,-17,-360,-40,-149,-151,-20
12/17/2020,12/23/2020,344,776,203,274,283,16,-17.51,-20.25,-20.08,-20.81,-21.82,45.45,-73,-197,-51,-72,-79,5
12/24/2020,12/30/2020,139,265,72,112,78,3,-59.59,-65.85,-64.53,-59.12,-72.44,-81.25,-205,-511,-131,-162,-205,-13
12/31/2020,01/06/2021,455,1166,293,392,446,35,227.34,340,306.94,250,471.79,1066.67,316,901,221,280,368,32
01/07/2021,01/13/2021,511,1620,325,536,732,27,12.31,38.94,10.92,36.73,64.13,-22.86,56,454,32,144,286,-8
01/14/2021,01/20/2021,405,1102,285,474,335,8,-20.74,-31.98,-12.31,-11.57,-54.23,-70.37,-106,-518,-40,-62,-397,-19
01/21/2021,01/27/2021,327,1169,352,515,296,6,-19.26,6.08,23.51,8.65,-11.64,-25,-78,67,67,41,-39,-2
01/28/2021,02/03/2021,250,847,264,377,197,9,-23.55,-27.54,-25,-26.8,-33.45,50,-77,-322,-88,-138,-99,3
02/04/2021,02/10/2021,205,717,220,323,162,12,-18,-15.35,-16.67,-14.32,-17.77,33.33,-45,-130,-44,-54,-35,3
02/11/2021,02/17/2021,127,437,135,184,115,3,-38.05,-39.05,-38.64,-43.03,-29.01,-75,-78,-280,-85,-139,-47,-9
