District code,District name,School start date,Grades: In person,Grades: Hybrid,Grades: Remote,Percentage of students who are fully remote,Total number of students in the district,Predominant learning model ,Organization type,Alliance District,Reporting period,Update date
0130011,Bozrah School District,08/31/2020,"PK, K, g1, g2, g3","g4, g5, g6, g7, g8",N/A,32%,140,,Public School Districts,,"August 31, 2020 - September 4, 2020",09/15/2020
0140011,Branford School District,09/10/2020,N/A,N/A,N/A,N/A,N/A,,Public School Districts,,"August 31, 2020 - September 4, 2020",09/15/2020
0150011,Bridgeport School District,09/08/2020,N/A,N/A,N/A,N/A,N/A,,Public School Districts,Opportunity,"August 31, 2020 - September 4, 2020",09/15/2020
0170011,Bristol School District,09/08/2020,N/A,N/A,N/A,N/A,N/A,,Public School Districts,Alliance,"August 31, 2020 - September 4, 2020",09/15/2020
0670011,Hebron School District,09/08/2020,N/A,N/A,N/A,N/A,N/A,,Public School Districts,,"August 31, 2020 - September 4, 2020",09/15/2020
1070011,Orange School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,13%,1255,,Public School Districts,,"August 31, 2020 - September 4, 2020",09/15/2020
0130011,Bozrah School District,08/31/2020,"PK, K, g1, g2, g3","g4, g5, g6, g7, g8",N/A,24%,185,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0490011,Enfield School District,09/08/2020,N/A,N/A,N/A,N/A,N/A,,Public School Districts,,"August 31, 2020 - September 4, 2020",09/15/2020
0210011,Canaan School District,09/08/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,22%,67,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0670011,Hebron School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,16%,637,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0010011,Andover School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,12%,173,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0020011,Ansonia School District,09/02/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,34%,2237,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
0030011,Ashford School District,09/03/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,34%,361,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0040011,Avon School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,19%,3112,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0046821,The Webb School in the Valley,09/02/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,23,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0046921,Oak Hill School at Farmington Valley Montessori,07/06/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,14,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0050011,Barkhamsted School District,08/31/2020,"K, g1, g2, g3, g4, g5, g6",N/A,N/A,14%,190,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0070011,Berlin School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,14%,2690,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0080011,Bethany School District,09/02/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,12%,369,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0090011,Bethel School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,21%,3064,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0100161,Arch Bridge School,08/27/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,10%,222,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0110011,Bloomfield School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,43%,2064,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
0120011,Bolton School District,09/02/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,18%,748,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0140011,Branford School District,09/10/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,13%,2573,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0150011,Bridgeport School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,40%,19367,,Public School Districts,Opportunity,"September 21, 2020 - September 25, 2020",10/01/2020
0170011,Bristol School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,28%,7734,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
0170561,Oak Hill School at Hartford Secondary,07/06/2020,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,12,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0170821,Connecticut Junior Republic-Bristol,09/01/2020,"g8, g9, g10, g11",N/A,g12,*,9,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0180011,Brookfield School District,09/08/2020,"PK, K","g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,21%,2580,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0190011,Brooklyn School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,26%,824,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0190161,The Learning Clinic,09/08/2020,N/A,"g5, g6, g7, g8, g9, g10, g11, g12",N/A,*,41,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0220011,Canterbury School District,08/31/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,16%,431,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0230011,Canton School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,14%,1540,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0230121,Fresh Start School,08/26/2020,"g7, g8, g10, g11, g12",N/A,N/A,*,16,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0240011,Chaplin School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,6%,128,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0250011,Cheshire School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,15%,4182,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0250161,The Webb School at Cheshire,09/02/2020,"g2, g3, g4, g5, g6, g7",N/A,g8,*,15,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0260011,Chester School District,09/01/2020,N/A,"K, g1, g2, g3, g4, g5, g6",N/A,10%,201,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0270011,Clinton School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,12%,1565,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0280011,Colchester School District,09/08/2020,N/A,"g3, g4, g5, g6, g7, g8, g9, g10, g11, g12","PK, K, g1, g2",33%,2236,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0290011,Colebrook School District,08/31/2020,"K, g1, g2, g3, g4, g5, g6",N/A,N/A,11%,74,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0300011,Columbia School District,09/02/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,17%,401,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0310011,Cornwall School District,09/08/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,12%,103,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0320011,Coventry School District,08/31/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,12%,1602,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0330011,Cromwell School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,11%,1994,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0330161,Adelbrook-The Learning Center of Cromwell,08/27/2020,"g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,12%,69,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0340011,Danbury School District,09/08/2020,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",100%,11841,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
0350011,Darien School District,09/03/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,5%,4657,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0360011,Deep River School District,09/01/2020,N/A,"K, g1, g2, g3, g4, g5, g6",N/A,22%,218,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0360161,Connecticut Coastal Academy,08/26/2020,N/A,N/A,"g6, g7, g8, g9, g10, g11, g12",*,29,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0370011,Derby School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,29%,1227,,Public School Districts,Opportunity,"September 21, 2020 - September 25, 2020",10/01/2020
0380261,Rushford Academy,08/31/2020,"g9, g10, g11, g12",N/A,N/A,*,12,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0390011,Eastford School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,12%,138,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0400011,East Granby School District,08/31/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,19%,824,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0410011,East Haddam School District,09/01/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,26%,935,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0420011,East Hampton School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,10%,1821,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0430011,East Hartford School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,44%,6549,,Public School Districts,Opportunity,"September 21, 2020 - September 25, 2020",10/01/2020
0430121,Adelbrook-The Learning Center of East Hartford,08/27/2020,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,19,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0440011,East Haven School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,25%,2679,,Public School Districts,Opportunity,"September 21, 2020 - September 25, 2020",10/01/2020
0440221,Pathways Academy - East Haven,09/03/2020,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,42%,24,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0450011,East Lyme School District,08/31/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,10%,2612,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0450161,The Light House on Main St,08/26/2020,N/A,"g10, g11","g9, g12",*,12,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0450261,The Light House on Pennsylvania Ave,08/26/2020,N/A,"g3, g7, g8, g9, g12",N/A,*,8,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0460011,Easton School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,12%,856,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0460161,The Speech Academy-Easton,09/02/2020,"g1, g2, g3, g4, g5, g7, g8, g9",g12,"g6, g11",30%,47,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0470011,East Windsor School District,09/03/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,34%,1033,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
0480011,Ellington School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,20%,2659,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0490011,Enfield School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,29%,4903,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0490161,Natchaug Hospital School Joshua Center-Enfield,08/31/2020,"g9, g10, g11, g12",N/A,N/A,*,10,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0500011,Essex School District,09/01/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6",N/A,11%,307,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0510011,Fairfield School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,12%,9409,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0516061,Saint Catherine Academy,09/02/2020,"g4, g8, g10, g11, g12",N/A,g9,*,13,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0520011,Farmington School District,09/02/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,24%,4084,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0530011,Franklin School District,09/01/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,7%,162,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
