"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Achievement First Bridgeport Academy District","=""2850013""","*",9,597,502,"*","*",12,1127
"Achievement First Hartford Academy District","=""2880013""",10,"*",840,294,"*",14,"*",1164
"Amistad Academy District","=""2790013""","*","*",701,396,0,20,11,1134
"Andover School District","=""0010011""",0,0,"*",22,0,"*",142,174
"Ansonia School District","=""0020011""","*",41,435,989,"*",125,644,2238
"Area Cooperative Educational Services","=""2440014""","*",65,556,688,"*",94,412,1826
"Ashford School District","=""0030011""",0,"*",10,26,"*",14,314,370
"Avon School District","=""0040011""","*",622,182,232,"*",125,1959,3128
"Barkhamsted School District","=""0050011""",0,"*","*","*",0,10,187,203
"Berlin School District","=""0070011""","*",97,"*",318,0,93,2132,2715
"Bethany School District","=""0080011""","*",19,"*",36,0,7,301,370
"Bethel School District","=""0090011""","*",242,109,686,"*",93,1928,3089
"Bloomfield School District","=""0110011""",6,53,1467,292,0,85,177,2080
"Bolton School District","=""0120011""",0,16,39,83,0,35,580,753
"Booker T. Washington Academy District","=""2950013""",0,"*",403,63,0,10,"*",480
"Bozrah School District","=""0130011""","*","*",0,20,"*",17,140,180
"Branford School District","=""0140011""","*",181,106,353,"*",99,1843,2590
"Brass City Charter School District","=""2900013""","*","*",120,177,0,22,31,361
"Bridgeport School District","=""0150011""",133,439,6126,10359,27,241,2124,19449
"Bristol School District","=""0170011""","*",260,571,2543,"*",379,3962,7726
"Brookfield School District","=""0180011""","*",203,70,312,"*",28,1926,2563
"Brooklyn School District","=""0190011""","*",16,"*",97,0,44,656,831
"Canaan School District","=""0210011""",0,0,0,"*",0,"*",63,68
"Canterbury School District","=""0220011""","*",0,"*",27,0,"*",396,435
"Canton School District","=""0230011""","*",42,98,102,"*",38,1234,1517
"Capital Preparatory Harbor School District","=""2970013""","*","*",539,231,0,"*",8,785
"Capitol Region Education Council","=""2410014""",20,496,2634,3538,8,460,1643,8799
"Chaplin School District","=""0240011""",0,"*","*",7,0,"*",116,131
"Cheshire School District","=""0250011""",7,394,126,270,0,121,3204,4122
"Chester School District","=""0260011""",0,"*",0,16,0,"*",173,201
"Clinton School District","=""0270011""","*",45,"*",320,0,25,1168,1570
"Colchester School District","=""0280011""","*",50,"*",175,0,100,1829,2193
"Colebrook School District","=""0290011""",0,0,0,"*",0,"*",69,75
"Columbia School District","=""0300011""","*","*",6,27,0,18,348,402
"Common Ground High School District","=""2680013""",0,0,78,98,"*","*",52,236
"Connecticut Technical Education and Career System","=""9000016""",36,132,1327,4638,11,465,4729,11338
"Cooperative Educational Services","=""2430014""","*",33,190,291,"*",40,230,789
"Cornwall School District","=""0310011""",0,7,"*",12,0,"*",83,104
"Coventry School District","=""0320011""","*",18,"*",120,0,62,1392,1606
"Cromwell School District","=""0330011""","*",125,153,243,"*",82,1380,1989
"Danbury School District","=""0340011""","*",731,872,6211,"*",300,3703,11834
"Darien School District","=""0350011""","*",256,"*",294,0,159,3922,4682
"Deep River School District","=""0360011""","*","*","*",12,0,13,185,218
"Department of Mental Health and Addiction Services","=""3370015""",0,0,"*",0,0,0,0,"*"
"Derby School District","=""0370011""",0,"*",234,465,"*",83,426,1234
"East Granby School District","=""0400011""","*",57,74,57,0,"*",612,834
"East Haddam School District","=""0410011""","*",15,"*",37,0,17,857,935
"East Hampton School District","=""0420011""","*",23,19,123,"*",58,1598,1824
"East Hartford School District","=""0430011""",14,278,1983,3294,11,257,744,6581
"East Haven School District","=""0440011""","*",109,142,897,"*",78,1569,2801
"East Lyme School District","=""0450011""","*",247,38,210,"*",142,1970,2612
"East Windsor School District","=""0470011""","*",67,129,239,0,"*",547,1050
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,"*","*",89,0,34,301,444
"Eastford School District","=""0390011""",0,0,"*",13,0,"*",113,140
"Easton School District","=""0460011""",0,52,"*",63,"*",28,687,858
"EdAdvance","=""2420014""","*","*",15,75,0,7,121,228
"Ellington School District","=""0480011""","*",299,107,171,"*",96,1951,2626
"Elm City College Preparatory School District","=""2890013""","*","*",507,232,0,9,23,774
"Elm City Montessori School District","=""2910013""",0,"*",99,62,0,"*",78,259
"Enfield School District","=""0490011""",10,154,336,908,6,251,3256,4921
"Essex School District","=""0500011""",0,"*","*",25,0,13,267,313
"Explorations District","=""2720013""",0,0,"*",13,0,"*",68,86
"Fairfield School District","=""0510011""","*",575,247,1127,"*",459,7030,9444
"Farmington School District","=""0520011""","*",930,201,394,0,"*",2373,4086
"Franklin School District","=""0530011""","*","*","*",9,0,11,139,165
"Glastonbury School District","=""0540011""","*",712,175,661,"*",318,3884,5758
"Granby School District","=""0560011""","*",33,106,68,"*",47,1469,1729
"Great Oaks Charter School District","=""2940013""","*",0,320,310,"*",0,34,670
"Greenwich School District","=""0570011""","*",763,205,1964,"*",490,5354,8796
"Griswold School District","=""0580011""","*",28,35,165,"*",122,1302,1671
"Groton School District","=""0590011""",39,255,303,938,20,435,2078,4068
"Guilford School District","=""0600011""",0,148,"*",251,"*",145,2519,3105
"Hamden School District","=""0620011""","*",382,1664,1220,"*",307,1759,5344
"Hampton School District","=""0630011""","*",0,0,"*",0,"*",66,73
"Hartford School District","=""0640011""",55,860,5215,9739,31,426,1407,17733
"Hartland School District","=""0650011""",0,0,"*","*",0,11,124,145
"Hebron School District","=""0670011""","*",11,"*",30,0,9,578,636
"Highville Charter School District","=""2860013""","*",0,405,29,"*","*",6,447
"Integrated Day Charter School District","=""2640013""","*",49,40,62,0,"*",162,353
