District code,District name,Predominantly,District Code,District,%_White,Total_estimate
10011,Andover School District,In-Person,10011,Andover School District,81.60919540229885,174
20011,Ansonia School District,In-Person,20011,Ansonia School District,28.77569258266309,2238
30011,Ashford School District,In-Person,30011,Ashford School District,84.86486486486487,370
40011,Avon School District,In-Person,40011,Avon School District,62.62787723785166,3128
50011,Barkhamsted School District,In-Person,50011,Barkhamsted School District,92.11822660098522,203
70011,Berlin School District,Hybrid,70011,Berlin School District,78.52670349907919,2715
80011,Bethany School District,In-Person,80011,Bethany School District,81.35135135135135,370
90011,Bethel School District,In-Person,90011,Bethel School District,62.41502104240855,3089
110011,Bloomfield School District,Hybrid,110011,Bloomfield School District,8.509615384615385,2080
120011,Bolton School District,Hybrid,120011,Bolton School District,77.02523240371846,753
130011,Bozrah School District,Remotely,130011,Bozrah School District,77.77777777777777,180
140011,Branford School District,Hybrid,140011,Branford School District,71.15830115830116,2590
150011,Bridgeport School District,Hybrid,150011,Bridgeport School District,10.920869967607588,19449
170011,Bristol School District,Hybrid,170011,Bristol School District,51.28138752265079,7726
180011,Brookfield School District,In-Person,180011,Brookfield School District,75.14631291455326,2563
190011,Brooklyn School District,Hybrid,190011,Brooklyn School District,78.94103489771359,831
210011,Canaan School District,In-Person,210011,Canaan School District,92.6470588235294,68
220011,Canterbury School District,In-Person,220011,Canterbury School District,91.03448275862068,435
230011,Canton School District,In-Person,230011,Canton School District,81.34475939353987,1517
240011,Chaplin School District,In-Person,240011,Chaplin School District,88.54961832061069,131
250011,Cheshire School District,In-Person,250011,Cheshire School District,77.7292576419214,4122
260011,Chester School District,In-Person,260011,Chester School District,86.06965174129353,201
270011,Clinton School District,In-Person,270011,Clinton School District,74.39490445859873,1570
280011,Colchester School District,Hybrid,280011,Colchester School District,83.40173278613771,2193
290011,Colebrook School District,In-Person,290011,Colebrook School District,92.0,75
300011,Columbia School District,Hybrid,300011,Columbia School District,86.56716417910448,402
310011,Cornwall School District,In-Person,310011,Cornwall School District,79.8076923076923,104
320011,Coventry School District,In-Person,320011,Coventry School District,86.6749688667497,1606
330011,Cromwell School District,Hybrid,330011,Cromwell School District,69.3815987933635,1989
340011,Danbury School District,Hybrid,340011,Danbury School District,31.291194862261282,11834
350011,Darien School District,In-Person,350011,Darien School District,83.76762067492524,4682
360011,Deep River School District,In-Person,360011,Deep River School District,84.86238532110092,218
370011,Derby School District,In-Person,370011,Derby School District,34.52188006482982,1234
390011,Eastford School District,In-Person,390011,Eastford School District,80.71428571428571,140
400011,East Granby School District,Hybrid,400011,East Granby School District,73.38129496402878,834
410011,East Haddam School District,In-Person,410011,East Haddam School District,91.65775401069519,935
420011,East Hampton School District,Hybrid,420011,East Hampton School District,87.60964912280701,1824
430011,East Hartford School District,Hybrid,430011,East Hartford School District,11.305272754900471,6581
